event_id,timestamp,activity,cluster_id,operation,operation_id
100061,2025-01-16 04:23:56+00:00,Check document,0,assign,0
100078,2025-01-16 04:23:57+00:00,Start process,0,assign,0
100070,2025-01-16 04:23:57+00:00,Check document,0,assign,0
99932,2025-01-16 04:23:57+00:00,Accept submission,0,assign,0
100018,2025-01-16 04:23:57+00:00,Review submission,0,assign,0
99979,2025-01-16 04:23:57+00:00,Submit application,0,assign,0
99986,2025-01-16 04:23:57+00:00,Disapprove application,0,assign,0
99947,2025-01-16 04:23:57+00:00,Reject submission,0,assign,0
100043,2025-01-16 04:23:57+00:00,Check document,0,assign,0
99996,2025-01-16 04:23:57+00:00,Revise document,0,assign,0
100079,2025-01-16 04:23:58+00:00,Check document,0,assign,0
100028,2025-01-16 04:23:58+00:00,Disapprove application,0,assign,0
100006,2025-01-16 04:23:58+00:00,Submit application,0,assign,0
100044,2025-01-16 04:23:58+00:00,Submit application,1,assign,0
99997,2025-01-16 04:23:58+00:00,Submit application,0,assign,0
100087,2025-01-16 04:23:58+00:00,Start process,0,assign,0
100036,2025-01-16 04:23:58+00:00,Review submission,0,assign,0
99987,2025-01-16 04:23:58+00:00,Revise document,0,assign,0
99914,2025-01-16 04:23:58+00:00,Reject submission,0,assign,0
100096,2025-01-16 04:23:59+00:00,Start process,0,assign,0
100053,2025-01-16 04:23:59+00:00,Submit application,1,assign,0
100080,2025-01-16 04:23:59+00:00,Submit application,1,assign,0
99988,2025-01-16 04:23:59+00:00,Submit application,0,assign,0
99972,2025-01-16 04:23:59+00:00,Complete process,0,assign,0
100012,2025-01-16 04:23:59+00:00,Review submission,0,assign,0
99955,2025-01-16 04:24:00+00:00,Submit application,0,assign,0
100019,2025-01-16 04:24:00+00:00,Disapprove application,0,assign,0
99998,2025-01-16 04:24:00+00:00,Accept submission,0,assign,0
100102,2025-01-16 04:24:00+00:00,Start process,0,assign,0
100062,2025-01-16 04:24:00+00:00,Submit application,1,assign,0
99980,2025-01-16 04:24:00+00:00,Accept submission,0,assign,0
99924,2025-01-16 04:24:00+00:00,Complete process,0,assign,0
100054,2025-01-16 04:24:01+00:00,Review submission,0,assign,0
100103,2025-01-16 04:24:01+00:00,Check document,0,assign,0
100063,2025-01-16 04:24:01+00:00,Review submission,0,assign,0
100111,2025-01-16 04:24:01+00:00,Start process,0,assign,0
100007,2025-01-16 04:24:01+00:00,Accept submission,0,assign,0
100071,2025-01-16 04:24:01+00:00,Submit application,1,assign,0
99956,2025-01-16 04:24:01+00:00,Reject submission,0,assign,0
99915,2025-01-16 04:24:01+00:00,Complete process,0,assign,0
99933,2025-01-16 04:24:01+00:00,Complete process,0,assign,0
100097,2025-01-16 04:24:01+00:00,Check document,0,assign,0
