EventID,CaseID,Timestamp,Activity,Resource,NumericFeature_1,NumericFeature_2
1,1,2023-01-01 08:00:00,Submit,UserC,10.39,16.94
2,1,2023-01-01 08:05:00,Approve,UserA,9.71,20.0
3,1,2023-01-01 08:10:00,Archive,UserC,7.11,18.37
4,1,2023-01-01 08:15:00,Archive,UserC,10.71,10.24
5,1,2023-01-01 08:20:00,Approve,UserB,10.95,12.05
6,1,2023-01-01 08:25:00,Review,UserC,7.86,18.49
7,1,2023-01-01 08:30:00,Submit,UserC,14.65,15.93
8,1,2023-01-01 08:35:00,Approve,UserC,10.97,14.56
9,1,2023-01-01 08:40:00,Review,UserA,11.95,18.06
10,1,2023-01-01 08:45:00,Approve,UserB,14.58,13.24
11,2,2023-01-01 08:00:00,Archive,UserA,11.12,12.36
12,2,2023-01-01 08:05:00,Review,UserB,10.39,15.11
13,2,2023-01-01 08:10:00,Submit,UserA,7.39,18.99
14,2,2023-01-01 08:15:00,Approve,UserC,12.67,13.23
15,2,2023-01-01 08:20:00,Archive,UserB,14.41,11.28
16,2,2023-01-01 08:25:00,Approve,UserB,11.12,13.33
17,2,2023-01-01 08:30:00,Review,UserC,5.63,15.75
18,2,2023-01-01 08:35:00,Approve,UserB,14.31,19.72
19,2,2023-01-01 08:40:00,Submit,UserB,12.81,14.77
20,2,2023-01-01 08:45:00,Approve,UserC,7.87,18.74
21,3,2023-01-01 08:00:00,Review,UserB,14.05,11.42
22,3,2023-01-01 08:05:00,Submit,UserC,9.25,19.41
23,3,2023-01-01 08:10:00,Archive,UserC,14.23,19.55
24,3,2023-01-01 08:15:00,Submit,UserA,6.76,14.67
25,3,2023-01-01 08:20:00,Submit,UserB,11.18,18.85
26,3,2023-01-01 08:25:00,Archive,UserA,12.76,16.0
27,3,2023-01-01 08:30:00,Approve,UserA,9.81,18.74
28,3,2023-01-01 08:35:00,Review,UserA,5.72,13.97
29,3,2023-01-01 08:40:00,Submit,UserA,12.45,15.38
30,3,2023-01-01 08:45:00,Archive,UserC,10.84,16.81
31,4,2023-01-01 08:00:00,Submit,UserC,7.83,12.47
32,4,2023-01-01 08:05:00,Archive,UserB,6.44,10.32
33,4,2023-01-01 08:10:00,Archive,UserC,14.2,13.91
34,4,2023-01-01 08:15:00,Review,UserB,10.97,14.94
35,4,2023-01-01 08:20:00,Approve,UserA,12.8,19.16
36,4,2023-01-01 08:25:00,Submit,UserC,12.63,17.94
37,4,2023-01-01 08:30:00,Submit,UserB,5.47,12.63
38,4,2023-01-01 08:35:00,Archive,UserC,9.16,13.42
39,4,2023-01-01 08:40:00,Approve,UserB,13.23,14.7
40,4,2023-01-01 08:45:00,Archive,UserB,12.46,10.2
41,5,2023-01-01 08:00:00,Submit,UserB,5.92,14.86
42,5,2023-01-01 08:05:00,Submit,UserA,9.85,13.6
43,5,2023-01-01 08:10:00,Review,UserC,5.74,15.43
44,5,2023-01-01 08:15:00,Approve,UserA,9.76,16.34
45,5,2023-01-01 08:20:00,Review,UserB,6.42,16.84
46,5,2023-01-01 08:25:00,Review,UserC,5.91,15.06
47,5,2023-01-01 08:30:00,Approve,UserB,7.32,15.96
48,5,2023-01-01 08:35:00,Submit,UserA,14.68,18.89
49,5,2023-01-01 08:40:00,Archive,UserA,5.51,10.04
50,5,2023-01-01 08:45:00,Archive,UserC,6.71,18.15
51,6,2023-01-01 08:00:00,Archive,UserC,8.94,15.65
52,6,2023-01-01 08:05:00,Approve,UserC,10.63,12.9
53,6,2023-01-01 08:10:00,Submit,UserA,7.81,14.13
54,6,2023-01-01 08:15:00,Review,UserA,6.22,11.43
55,6,2023-01-01 08:20:00,Submit,UserA,9.68,14.89
56,6,2023-01-01 08:25:00,Archive,UserA,8.56,17.03
57,6,2023-01-01 08:30:00,Approve,UserB,6.96,13.48
